"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"gndbhwq",2004-01-22,12,12.8,12.8,12.9,12.8166666666667,0.038924947208076,0,12,31.28,32.42,33.01,32.41,0.546759046148717,0.70750000000001,12,19.5,20.25,20.7,20.2583333333333,0.384845502255205,0.550000000000001,12,72.8,80.05,82,78.6833333333333,3.12434235504292,3.875,12,6.8,7.5,7.6,7.34166666666667,0.281096338494744,0.35,12,0.91,1.145,1.27,1.12,0.125914834132224,0.1825,0,NA,NA,NA,NA,NA,NA,12,7.2,7.4,7.5,7.4,0.112815214963553,0.124999999999999,12,5,5.5,7,5.58333333333333,0.668557923421521,1,12,0,12,0
"gndbhwq",2004-01-23,48,11.6,12.9,13.2,12.8229166666667,0.356244945217343,0.225,48,30.77,32.8,34.21,32.7604166666667,0.898679784244604,1.2275,48,19.1,20.55,21.5,20.4979166666667,0.622448693376831,0.824999999999996,48,54.1,77.2,86.8,74.4895833333333,8.95276587675405,12.175,48,5.2,7.15,8.2,6.93958333333333,0.791642403510234,1.125,48,0.5,0.86,1.21,0.863541666666667,0.219908003814877,0.39,0,NA,NA,NA,NA,NA,NA,48,7.2,7.5,7.7,7.5,0.166311678688194,0.224999999999999,48,3,5,10,4.83333333333333,1.38891252934963,1,48,0,48,0
"gndbhwq",2004-01-24,48,13.2,13.4,13.8,13.3979166666667,0.161758400529444,0.199999999999999,48,33.91,34.385,35.39,34.5004166666667,0.3652510552118,0.504999999999995,48,21.3,21.6,22.3,21.70625,0.253827089746862,0.399999999999999,48,59.7,65.3,77.1,65.4479166666667,4.02661304183211,4.97499999999999,48,5.4,6,7.1,5.97291666666667,0.384674265814782,0.424999999999999,48,0.57,0.845,1.21,0.85625,0.185720276966721,0.315,0,NA,NA,NA,NA,NA,NA,48,7.4,7.4,7.7,7.45416666666667,0.0797825057700641,0.0999999999999996,48,4,5,7,5.04166666666667,0.921569736993269,2,48,0,48,0
"gndbhwq",2004-01-25,48,13.5,13.8,14,13.80625,0.162959660848413,0.200000000000001,48,32.53,34.91,36.45,34.61375,1.19985038960981,2.1175,48,20.4,22,23.1,21.79375,0.829613150042479,1.4,48,52.7,55.6,64.9,56.8729166666667,3.48692021541252,5.05000000000001,48,4.8,5,5.8,5.14583333333333,0.286548301474663,0.399999999999999,48,0.8,0.995,1.21,0.997083333333333,0.117109847203626,0.18,0,NA,NA,NA,NA,NA,NA,48,7.2,7.3,7.6,7.35833333333333,0.108830012548036,0.125000000000001,48,0,2,4,2.08333333333333,0.963886930186522,2,48,0,48,15
"gndbhwq",2004-01-26,48,14,14.25,15,14.35,0.285835840404199,0.5,48,5.53,34.105,35.23,32.02375,6.66704618157352,1.275,48,3,21.45,22.2,20.0916666666667,4.3478453129393,0.900000000000002,48,47.5,50.65,62.7,51.7604166666667,3.37063284564514,3.125,48,4.3,4.6,6.2,4.6875,0.414433733121396,0.3,48,0.84,0.99,1.16,0.980833333333333,0.080314099695689,0.1025,0,NA,NA,NA,NA,NA,NA,48,6.3,7.25,7.3,7.18958333333333,0.203417172577171,0.0999999999999996,48,-1,1,7,1.14583333333333,1.70093320235253,1.25,48,0,48,44
"gndbhwq",2004-01-27,48,11.2,14.75,15.4,14.2041666666667,1.24061726800563,1.35,48,2.71,33.21,34.84,27.028125,11.407497097374,9.4325,48,1.4,20.8,22,16.8458333333333,7.362526114055,6.375,48,47,51.15,64.5,52.9416666666667,5.02630668237108,7.45,48,4.3,4.5,7,4.94583333333333,0.833336879425079,1.25,48,0.59,0.79,1.11,0.800833333333333,0.132212487473656,0.1725,0,NA,NA,NA,NA,NA,NA,48,5.8,7.2,7.3,6.93125,0.521518343856401,0.649999999999999,48,-1,2,6,1.875,1.94197749619935,3,48,0,48,35
"gndbhwq",2004-01-28,48,9.1,14.5,15.3,13.4979166666667,1.95366426952386,2.5,48,3.48,33.62,34.9,27.4504166666667,11.7517688950694,4.19749999999999,48,1.8,21.1,22,17.1354166666667,7.56206910735396,2.9,48,25.6,36,64.2,41.4895833333333,12.6439665131001,10.75,48,2.3,3.2,7.3,4.02083333333333,1.65965368514336,1.225,48,0.51,0.745,1,0.744791666666667,0.137500322372285,0.1925,0,NA,NA,NA,NA,NA,NA,48,5.9,7.1,7.2,6.87708333333333,0.474561200830128,0.124999999999999,48,1,5,23,6.77083333333333,4.67787723876898,5.25,48,0,48,37
"gndbhwq",2004-01-29,48,12.5,13.15,14.7,13.3541666666667,0.514867606751745,0.699999999999999,48,31.46,34.565,35.06,34.0664583333333,1.04212852881369,1.1275,48,19.6,21.75,22.1,21.41875,0.715082572229517,0.774999999999999,48,18.3,43.05,55.2,38.75,12.4224916128907,22.125,48,1.7,3.95,5.1,3.55416666666667,1.14370773184696,2.125,48,0.59,0.825,1.06,0.81875,0.162580585582998,0.3225,0,NA,NA,NA,NA,NA,NA,48,7,7.3,7.4,7.225,0.152287522015765,0.225,48,3,7,12,6.83333333333333,2.29090090365223,3,48,5,48,44
"gndbhwq",2004-01-30,48,11.3,11.6,12.8,11.9104166666667,0.526424949019663,0.925000000000001,48,33.82,35.14,35.95,34.9647916666667,0.660338370976878,1.2225,48,21.2,22.1,22.7,21.9958333333333,0.44432992023291,0.799999999999997,48,36.2,59.65,67.5,55.5645833333333,10.1248690999331,19.925,48,3.4,5.65,6.4,5.23541666666667,0.989409792547382,2,48,0.65,0.885,1.07,0.869375,0.123811906930926,0.2025,0,NA,NA,NA,NA,NA,NA,48,7.2,7.5,7.6,7.425,0.146592502202969,0.225000000000001,48,2,4,6,3.5625,1.07002187291225,1,48,0,48,18
"gndbhwq",2004-01-31,48,11.5,11.7,11.9,11.6916666666667,0.108830012548036,0.124999999999998,48,34.33,35.995,37.55,36.013125,0.800098813711236,1.1125,48,21.6,22.7,23.8,22.7166666666667,0.556330428881336,0.725000000000005,48,60,64.6,71.4,65.1791666666667,3.23997362304297,3.94999999999999,48,5.7,6.1,6.7,6.13541666666667,0.297142120400848,0.325,48,0.54,0.925,1.23,0.910625,0.25445315791805,0.5075,0,NA,NA,NA,NA,NA,NA,48,7.4,7.6,7.8,7.58541666666667,0.125460145970544,0.2,48,2,3,5,3.27083333333333,1.04656649021441,2,48,0,48,0
"gndbhwq",2004-02-01,48,11.7,11.8,11.9,11.7666666666667,0.0558620387730934,0.100000000000001,48,36.7,38.515,39.04,38.2675,0.722346943222561,1.135,48,23.2,24.5,24.8,24.2791666666667,0.511966726534073,0.800000000000001,48,61.7,64.75,69.1,65.3,1.69893583714141,1.34999999999999,48,5.7,6,6.5,6.08333333333333,0.180228381515082,0.0999999999999996,48,0.66,1.045,1.35,1.06041666666667,0.208489586793726,0.385,0,NA,NA,NA,NA,NA,NA,48,7.6,7.8,7.8,7.75833333333333,0.0539240337738165,0.0999999999999996,48,1,2,5,2.4375,1.0499493402166,1,48,0,48,0
"gndbhwq",2004-02-02,48,11.8,11.9,12,11.9083333333333,0.0453512688758812,0,48,37.74,38.2,38.5,38.19375,0.211364613878483,0.312499999999993,48,23.9,24.25,24.4,24.24375,0.148619534239099,0.225000000000001,48,55.9,58.1,61.1,58.29375,1.18795484010448,1.34999999999999,48,5.2,5.4,5.7,5.4125,0.119618186904408,0.0999999999999996,48,0.8,1.065,1.32,1.06875,0.159941811227469,0.2775,0,NA,NA,NA,NA,NA,NA,48,7.6,7.6,7.7,7.62291666666667,0.0424744395393796,0,48,0,1,2,1,0.74376843799781,2,48,0,48,0
"gndbhwq",2004-02-03,48,12,12.3,12.8,12.39375,0.279365732984483,0.524999999999999,48,33.34,37.395,38.07,37.010625,1.04962486966596,1.2525,48,20.9,23.7,24.2,23.43125,0.728786881844711,0.899999999999999,48,49.1,55.45,70.6,58.2,7.00780719641513,12.725,48,4.6,5.15,6.5,5.375,0.605471506085011,1.1,48,0.37,0.825,1.19,0.791875,0.269330582678532,0.505,0,NA,NA,NA,NA,NA,NA,48,7.2,7.5,7.7,7.52916666666667,0.128755637485887,0.125,48,1,2,3,2.14583333333333,0.743470394131706,1,48,0,48,17
"gndbhwq",2004-02-04,48,12.5,12.75,12.9,12.69375,0.120999824160238,0.200000000000001,48,34.98,36.31,36.71,36.0252083333333,0.610207462395471,1.1525,48,22,22.95,23.2,22.7520833333333,0.418197542313633,0.800000000000001,48,50.3,60.9,67.6,59.375,5.74669192536945,10.925,48,4.7,5.6,6.2,5.46666666666667,0.528882134370918,1,48,0.51,0.855,1.4,0.890208333333333,0.280997384581857,0.4925,0,NA,NA,NA,NA,NA,NA,48,7.3,7.5,7.6,7.43958333333333,0.0843992117875197,0.0999999999999996,48,1,3,4,2.875,0.841098572410296,1.25,48,0,48,14
"gndbhwq",2004-02-05,48,12.6,12.8,13.6,12.8395833333333,0.232232077001978,0.125000000000002,48,30.93,35.01,36.33,33.8629166666667,1.93346008694294,3.495,48,19.3,22.05,23,21.2625,1.33235114533222,2.45,48,47.3,63.3,83.4,61.8166666666667,11.5751077993847,15.425,48,4.4,5.85,7.8,5.74375,1.09891750411533,1.475,48,0.77,1.085,1.48,1.1,0.216991028346747,0.4225,0,NA,NA,NA,NA,NA,NA,48,7.1,7.2,7.5,7.24166666666667,0.119988179086806,0.2,48,1,2,3,2.25,0.668437364783192,1,48,0,48,18
"gndbhwq",2004-02-06,48,13,13.3,14.2,13.4208333333333,0.317542648054294,0.425000000000001,48,29.78,31.775,32.3,31.5741666666667,0.58491619088089,0.577500000000001,48,18.5,19.8,20.2,19.69375,0.389984315014651,0.349999999999994,48,58.7,68.1,79.5,69.35,5.03354703411827,7.10000000000001,48,5.4,6.3,7.4,6.4125,0.462474841178852,0.7,48,0.61,0.97,1.42,0.999375,0.213774650189937,0.315,0,NA,NA,NA,NA,NA,NA,48,7,7.1,7.3,7.14583333333333,0.0650967637635105,0.100000000000001,48,1,2,4,2.47916666666667,0.583079985511033,1,48,0,48,0
"gndbhwq",2004-02-07,48,13.1,14.1,15.3,14.24375,0.511529309074811,0.6,48,29.65,31.045,32.03,30.9870833333333,0.5444378648225,0.647500000000001,48,18.4,19.35,20,19.3166666666667,0.378312790394254,0.399999999999999,48,62,73.4,82.3,73.6791666666667,6.0159348094212,10.275,48,5.8,6.7,7.5,6.70208333333333,0.473775951777071,0.724999999999999,48,0.64,0.78,1.17,0.824791666666667,0.141481366088806,0.1775,0,NA,NA,NA,NA,NA,NA,48,7,7.2,7.3,7.15,0.0875189948987368,0.100000000000001,48,2,3,10,3.79166666666667,2.15325911647786,3,48,0,48,0
"gndbhwq",2004-02-08,48,12.3,14.6,15.1,14.5,0.591068271968357,0.625,48,28.89,30.73,31.25,30.5983333333333,0.49611397683817,0.645,48,17.9,19.1,19.5,19.0395833333333,0.345635143586802,0.425000000000001,48,63,68.8,80.3,69.5208333333333,3.70611675725951,4.49999999999999,48,5.6,6.3,7.3,6.31666666666667,0.34538497382174,0.4,48,0.62,0.905,1.18,0.876041666666667,0.143018219094309,0.175,0,NA,NA,NA,NA,NA,NA,48,7,7.1,7.2,7.09583333333333,0.0459339643185104,0,48,3,6.5,22,7.3125,3.73685639872351,4,48,0,48,0
"gndbhwq",2004-02-09,48,13.7,14.7,14.9,14.5208333333333,0.347610893576904,0.425000000000001,48,29.5,30.1,30.9,30.0691666666667,0.330253502459133,0.427499999999998,48,18.3,18.7,19.3,18.6854166666667,0.234284409206339,0.300000000000001,48,53.3,58.1,67.6,58.8583333333333,3.7417616361607,5.62499999999999,48,4.8,5.3,6.1,5.35208333333333,0.341454699860373,0.5,48,0.7,1.025,1.18,0.9775,0.134140288583544,0.185,0,NA,NA,NA,NA,NA,NA,48,7,7,7.1,7.00833333333333,0.0279310193865463,0,48,3,6,22,6.35416666666667,2.89158414459068,2,48,0,48,6
"gndbhwq",2004-02-10,48,13.3,14.3,14.7,14.25,0.391940073578341,0.625,48,29.5,30.515,32.47,30.6160416666667,0.793054261735436,1.04,48,18.3,19,20.3,19.0541666666667,0.538302427587039,0.725000000000001,48,46.4,55.35,72,56.05625,6.16637782053062,5.15000000000001,48,4.2,5.05,6.6,5.11666666666667,0.584674244029276,0.450000000000001,48,0.83,0.975,1.17,0.974166666666667,0.084773373311996,0.115,0,NA,NA,NA,NA,NA,NA,48,6.9,7,7.3,7.03333333333333,0.0996447590904026,0.0999999999999996,48,3,5,9,5.39583333333333,1.12495074754283,1,48,0,48,20
"gndbhwq",2004-02-11,48,12.8,13,13.6,13.0166666666667,0.20246705361964,0.199999999999999,48,8.71,33.6,34.36,31.1758333333333,6.75983218768586,1.3625,48,4.9,21.1,21.6,19.49375,4.42403523561436,0.925000000000004,48,64.1,76.6,81.8,76.0979166666667,4.03819475062455,4.85000000000002,48,5.9,7.2,7.6,7.10833333333333,0.386381650886586,0.425000000000001,48,0.87,1.025,1.21,1.04041666666667,0.0976741942733614,0.17,0,NA,NA,NA,NA,NA,NA,48,6.5,7.4,7.5,7.30208333333333,0.232002919399582,0.100000000000001,48,2,3.5,9,3.8125,1.70925204495753,2.25,48,0,48,0
"gndbhwq",2004-02-12,48,12.3,13.25,13.8,13.2375,0.349239294905918,0.300000000000001,48,0.27,1.085,10.4,1.61,1.72730635211087,0.93,48,0.1,0.5,5.9,0.841666666666667,0.972566977036901,0.55,48,75.4,79,80.9,78.7458333333333,1.39710313259994,2.19999999999999,48,7.7,8.3,8.4,8.21666666666667,0.171765963157113,0.225000000000001,48,0.73,0.985,1.13,0.955625,0.105182844851543,0.155,0,NA,NA,NA,NA,NA,NA,48,5,5.4,6.7,5.52708333333333,0.380223665045974,0.35,48,8,9,18,11.0208333333333,3.30370252211211,5,48,0,48,0
"gndbhwq",2004-02-13,48,11.2,12.15,13.4,12.2854166666667,0.79893268785068,1.625,48,0.63,1.76,28.66,8.98083333333333,11.20913226344,18.6575,48,0.3,0.9,17.7,5.38125,6.93819696518192,11.2,48,67.5,76.15,83,76.3270833333333,3.36937014022561,2.22499999999999,48,6.5,8.2,8.7,7.93333333333333,0.689845290498308,0.950000000000001,48,0.67,0.935,1.23,0.926666666666667,0.182282611223918,0.345,0,NA,NA,NA,NA,NA,NA,48,5.1,5.65,7.3,5.97708333333333,0.835193845083432,1.55,48,4,7.5,11,7.3125,1.99100370282952,2.25,48,0,48,0
"gndbhwq",2004-02-14,48,11.4,12.25,13,12.175,0.586551407117475,1.225,48,0.48,2.91,25.99,10.2916666666667,10.8254824143567,22.9625,48,0.2,1.5,15.9,6.14583333333333,6.66566171503556,14.125,48,56,77.4,80.8,70.8708333333333,10.1231766592191,21.475,48,5.4,8.25,8.8,7.39166666666667,1.40891286493981,3,48,0.56,1.05,1.34,1.01979166666667,0.238019215953504,0.4075,0,NA,NA,NA,NA,NA,NA,48,5,5.95,7.1,6.14166666666667,0.775648893297579,1.6,48,6,8,24,8.77083333333333,2.75402671021313,1,48,0,48,0
"gndbhwq",2004-02-15,48,9.9,10.4,12.2,10.7104166666667,0.665323336313985,0.824999999999999,48,0.1,0.175,1.88,0.268541666666667,0.312600551199017,0.09,48,0,0.1,1,0.145833333333333,0.158393978680597,0,48,76.3,77.7,83.4,79.1541666666667,2.67485997512483,5.25,48,8.2,8.75,9.3,8.78541666666667,0.388663604114304,0.799999999999999,48,0.44,0.745,1.02,0.731458333333333,0.195709180503453,0.3625,0,NA,NA,NA,NA,NA,NA,48,4.8,4.9,5.7,4.91875,0.198565333050263,0.100000000000001,48,6,9.5,13,9.20833333333333,2.01016918239336,4,48,0,48,0
"gndbhwq",2004-02-16,48,9.2,9.65,10.5,9.81666666666667,0.517495331804758,1.05,48,0.13,0.395,23,6.985,8.96577487721704,14.9775,48,0.1,0.2,13.9,4.1375,5.34983097764422,8.75,48,69.4,80.2,83.1,77.7708333333333,4.0290412952544,6.65000000000001,48,7.3,9.2,9.4,8.62708333333333,0.80338104240191,1.4,48,0.53,0.865,1.24,0.871458333333333,0.247893161469908,0.5075,0,NA,NA,NA,NA,NA,NA,48,4.8,4.95,7.1,5.6625,1.01491536173681,2,48,6,7,13,7.47916666666667,1.16672998814988,1,48,0,48,0
"gndbhwq",2004-02-17,48,7.4,10.2,10.6,9.47083333333333,1.19341425693364,2.15,48,0.65,18.495,23.22,12.2545833333333,9.6645212005283,19.8325,48,0.3,10.95,14,7.28125,5.86655345736192,12.05,48,63.1,70.15,82.4,74.1979166666667,6.54553573976702,12.9,48,6.6,7.25,9.8,8.16458333333333,1.24908299697551,2.45,48,0.54,0.97,1.31,0.948541666666667,0.272716746385082,0.54,0,NA,NA,NA,NA,NA,NA,48,5.2,6.9,7.1,6.37916666666667,0.750590783864747,1.425,48,5,6,7,6.16666666666667,0.7244464749279,1,48,0,48,0
"gndbhwq",2004-02-18,48,7.3,10.55,11.2,9.67083333333333,1.47849237952451,2.9,48,1.31,5.105,23.18,10.1172916666667,8.52487667336597,16.3475,48,0.7,2.8,14,5.93541666666667,5.1788641481746,9.9,48,58.1,79.2,92.8,75.225,9.49379416564181,14.025,48,6,8.9,10.2,8.31458333333333,1.46896831409034,2.75,48,0.51,0.865,1.2,0.847083333333333,0.240849192096078,0.49,0,NA,NA,NA,NA,NA,NA,48,5.6,6.4,7,6.35625,0.528710293514402,1,48,5,6,9,6.16666666666667,0.833687867845579,1,48,0,48,0
"gndbhwq",2004-02-19,48,7.6,10.65,11.4,10.18125,1.17864983160051,1.575,48,0.86,14.61,23.48,12.3045833333333,9.02773102624738,17.8825,48,0.4,8.5,14.2,7.27708333333333,5.5048620514663,10.875,48,52.1,69.85,90,71.6229166666667,9.76287452401347,15.65,48,5.6,7.05,9.9,7.75208333333333,1.40878544088151,2.6,48,0.39,0.655,1.09,0.699791666666667,0.183702923723051,0.3125,0,NA,NA,NA,NA,NA,NA,48,5.3,6.75,7.1,6.46875,0.583152200854719,1,48,3,5,31,5.47916666666667,3.88115788455233,1.25,48,0,48,0
"gndbhwq",2004-02-20,48,11.3,11.7,12.3,11.7375,0.266278529587252,0.5,48,16.41,23.73,25.69,23.50125,1.5919820711596,0.525000000000002,48,9.7,14.4,15.7,14.25,1.03307020214175,0.299999999999999,48,66.4,72.6,82.1,72.3979166666667,4.34229518598972,6.325,48,6.6,7.2,8,7.175,0.383988031728384,0.600000000000001,48,0.34,0.665,1,0.66,0.19993616002391,0.3225,0,NA,NA,NA,NA,NA,NA,48,6.9,7.1,7.2,7.07708333333333,0.0805290573520774,0.0999999999999996,48,2,3,5,3.08333333333333,0.918679286370208,2,48,0,48,0
"gndbhwq",2004-02-21,48,12.3,12.85,14.1,13.1,0.719633476448624,1.5,48,24.67,25.65,27.52,25.904375,0.748862701531249,0.972499999999997,48,15,15.7,17,15.8666666666667,0.510874649793292,0.699999999999999,48,73.7,83.5,103.5,88.2791666666667,10.6539765492541,22.4,48,7.2,8.05,9.6,8.39791666666667,0.869700262216409,1.8,48,0.26,0.64,0.97,0.625,0.230946249618317,0.4225,0,NA,NA,NA,NA,NA,NA,48,7,7.25,7.6,7.3,0.177452420953132,0.4,48,1,3,4,2.5625,0.848183290107169,1,48,0,48,0
"gndbhwq",2004-02-22,48,14.1,14.5,16.6,14.7541666666667,0.570911303366869,0.824999999999999,48,18.2,24.71,25.66,23.6329166666667,2.09218907889416,2.6075,48,10.8,15.1,15.7,14.3666666666667,1.37118264427888,1.725,48,91.1,100.8,115.9,102.45,7.15830123672821,10.675,48,8.5,9.4,10.8,9.50833333333333,0.635754982019898,0.9,48,0.57,0.695,0.95,0.722083333333333,0.0958713307341542,0.1125,0,NA,NA,NA,NA,NA,NA,48,7.2,7.3,7.4,7.30833333333333,0.0738985311613257,0.100000000000001,48,0,1,3,1.1875,0.789727935915881,1,48,0,48,0
"gndbhwq",2004-02-23,48,11.8,15,16.1,14.0354166666667,1.60365136330671,3.3,48,0.58,22.915,23.98,15.0841666666667,9.96780452007134,20.575,48,0.3,13.9,14.6,9.05625,6.14491335222743,12.725,48,73.8,91,110.5,91.6270833333333,8.63382116491889,13,48,7.3,8.95,10.1,8.91666666666667,0.551721998039382,0.600000000000001,48,0.33,0.71,1.11,0.700208333333333,0.202237374571959,0.1725,0,NA,NA,NA,NA,NA,NA,48,5.5,7.2,7.4,6.75416666666667,0.664593407402692,1.1,48,1,2,18,7.10416666666667,6.90124744608225,14,48,0,48,0
"gndbhwq",2004-02-24,48,12.1,12.7,13.2,12.7625,0.376221415115473,0.725,48,0.17,0.515,6.31,0.731666666666667,0.941793972440269,0.3075,48,0.1,0.3,3.5,0.375,0.518795659359456,0.125,48,72.9,76.2,80.6,76.38125,1.57920748370686,1.75,48,7.6,8,8.6,8.07708333333333,0.203417172577172,0.199999999999999,48,0.44,0.76,1.18,0.789791666666667,0.172608147823431,0.1675,0,NA,NA,NA,NA,NA,NA,48,4.9,5.1,6.7,5.22708333333333,0.341298885257503,0.225000000000001,48,8,9,11,9.27083333333333,0.643778187429435,0.25,48,0,48,0
"gndbhwq",2004-02-25,48,13.1,13.3,14.6,13.6479166666667,0.599641589168891,1.2,48,0.06,0.16,1.47,0.293958333333333,0.297283728529206,0.2775,48,0,0.1,0.7,0.15,0.151587345791973,0.1,48,71,76.75,80.2,76.5291666666667,2.46731470306721,3.77500000000002,48,7.4,8,8.2,7.95208333333333,0.227838673172286,0.425,48,0.49,0.785,0.99,0.784166666666667,0.123026261395313,0.18,0,NA,NA,NA,NA,NA,NA,48,4.8,4.9,5.7,4.96458333333333,0.171959400618265,0.0999999999999996,48,8,10,19,10.4791666666667,2.14366541662633,2,48,0,48,0
"gndbhwq",2004-02-26,48,11.9,12.8,14.3,13.0104166666667,0.621679120670796,0.750000000000002,48,0.06,0.065,0.66,0.232291666666667,0.218235082923071,0.44,48,0,0,0.3,0.104166666666667,0.127092416254879,0.2,48,70.8,73.2,78.9,74.2166666666667,2.97795684158696,5.94999999999999,48,7.4,7.7,8.4,7.81666666666667,0.382229369332266,0.800000000000001,48,0.53,0.83,1.21,0.882291666666667,0.221841802780704,0.455,0,NA,NA,NA,NA,NA,NA,48,4.6,4.8,5.1,4.84375,0.155613063500192,0.3,48,8,9,10,8.875,0.788885559211167,1.25,48,0,48,0
"gndbhwq",2004-02-27,48,10.6,11.6,14.3,12.2458333333333,1.40333316487255,2.75,48,0.33,0.855,18.91,2.69208333333333,4.88785771214592,0.8225,48,0.2,0.4,11.3,1.51875,2.90726575134372,0.4,48,69.6,76.3,88.2,78.3729166666667,4.7897825466269,5.32499999999999,48,6.7,8.4,9,8.33541666666667,0.547524247333796,0.324999999999999,48,0.69,0.885,1.09,0.869791666666667,0.121067759879621,0.1925,0,NA,NA,NA,NA,NA,NA,48,4.9,5.3,7.1,5.53958333333333,0.652895216034371,0.5,48,6,8,9,8.1875,0.841888707457631,1,48,0,48,0
"gndbhwq",2004-02-28,48,9.8,11.75,14.3,11.925,1.46672308079769,2.45,48,0.26,0.625,15.19,1.39104166666667,2.96101207509616,0.4275,48,0.1,0.3,8.9,0.754166666666667,1.73388732281742,0.2,48,54.8,79.45,91.3,80.4395833333333,8.24499176375557,9.07500000000002,48,5.6,8.8,9.5,8.64791666666667,0.81814257284629,0.6,48,0.63,0.98,1.22,0.935833333333333,0.204115458913273,0.39,0,NA,NA,NA,NA,NA,NA,48,4.9,5.2,6.9,5.29583333333333,0.458006008198691,0.4,48,5,8,9,7.8125,0.866792816787289,0,48,0,48,0
"gndbhwq",2004-02-29,48,11.2,12.4,13.4,12.4270833333333,0.609757392750743,0.9,48,0.3,0.67,15.42,4.463125,5.90770040448472,10.96,48,0.1,0.3,9,2.54375,3.45505526944123,6.3,48,45.4,78.05,83.5,70.5416666666667,13.7976999830658,24.45,48,4.6,8.5,8.9,7.45833333333333,1.60886286435857,2.9,48,0.7,1.115,1.36,1.059375,0.226240375368342,0.46,0,NA,NA,NA,NA,NA,NA,48,4.9,5.2,6.8,5.74166666666667,0.756766169606565,1.6,48,4,7,8,6.77083333333333,1.34068231808068,3,48,0,48,7
"gndbhwq",2004-03-01,48,13.3,14.15,15.8,14.4666666666667,0.7796161994467,1.225,48,0.46,1.4,14.92,5.04520833333333,5.87683877592596,11.81,48,0.2,0.7,8.7,2.87708333333333,3.45094742361679,6.925,48,42.2,74.2,81.6,69.1395833333333,13.0477802723475,22.275,48,4.1,7.65,8.1,6.95625,1.38039560317925,2.325,48,0.79,1.205,1.44,1.18041666666667,0.189971535755131,0.355,0,NA,NA,NA,NA,NA,NA,48,5.1,5.55,6.8,5.81875,0.64367834242783,1.4,48,5,8,8,7.29166666666667,1.16615997102207,1,48,0,48,6
"gndbhwq",2004-03-02,48,14.1,14.85,19,15.35625,1.39663825103544,0.624999999999998,48,0.9,14.845,21.97,14.0279166666667,6.07421650961453,3.1875,48,0.4,8.65,13.3,8.26041666666667,3.65558387124633,2.025,48,38.4,59.15,80.7,59,16.1294497406505,34.75,48,3.7,5.65,7.6,5.59791666666667,1.4595962110429,3.2,48,0.83,1.155,1.35,1.115625,0.177043163988033,0.34,0,NA,NA,NA,NA,NA,NA,48,5.3,6.7,7.4,6.68125,0.579675716388234,0.399999999999999,48,3,5,15,5.16666666666667,2.0969413727063,2,48,0,48,19
"gndbhwq",2004-03-03,48,15.1,16.7,20.2,17.2854166666667,1.84390768949421,3.4,48,1.04,16.705,22.36,12.4258333333333,8.97964265822998,19.7,48,0.5,9.85,13.5,7.37708333333333,5.4461479489883,11.9,48,55.9,70.75,82,71.1791666666667,7.47486449982741,13.275,48,5.1,6.6,7.4,6.54583333333333,0.661705833379968,1.225,48,0.78,1.105,1.33,1.07520833333333,0.194170243171639,0.375,0,NA,NA,NA,NA,NA,NA,48,5.3,6.85,7.4,6.45,0.775694609791492,1.7,48,2,4,11,5.47916666666667,2.69743442594431,5,48,0,48,0
"gndbhwq",2004-03-04,48,15.7,18.9,21,18.63125,1.60519850300284,2.325,48,0.85,8.29,22.13,9.37020833333333,8.24136801533486,16.3525,48,0.4,4.6,13.4,5.49791666666667,4.98062157888518,9.725,48,59.6,69.85,88.7,72.5875,9.40732229521012,18.525,48,5.4,6.4,7.9,6.56458333333333,0.820090701608821,1.6,48,0.85,1,1.26,1.03125,0.122207096635527,0.215,0,NA,NA,NA,NA,NA,NA,48,5.2,6.5,7.1,6.16875,0.776833794759761,1.6,48,3,6,12,6.89583333333333,3.17731040637199,6,48,0,48,0
"gndbhwq",2004-03-05,48,18.3,20.15,21,19.9541666666667,0.746611731768383,1,48,0.38,0.555,17.81,4.17395833333333,6.3619747167133,5.905,48,0.2,0.3,10.6,2.40208333333333,3.75700704688647,3.3,48,53.4,73,84.6,72.60625,6.57614665189532,5.47500000000001,48,4.8,6.6,7.6,6.53125,0.606404208288322,0.399999999999999,48,0.62,0.95,1.23,0.9375,0.181043077041573,0.27,0,NA,NA,NA,NA,NA,NA,48,4.9,5,7,5.49375,0.809887370682794,1.45,48,2,8,10,7.41666666666667,2.63231419366769,3.5,48,0,48,2
